iter	Passed	Remaining
401	16480	19965
402	16517	19919
403	16556	19875
404	16598	19836
405	16638	19794
406	16682	19756
407	16738	19732
408	16779	19692
409	16826	19658
410	16864	19613
411	16902	19569
412	16943	19527
413	16981	19483
414	17029	19450
415	17070	19408
416	17107	19363
417	17145	19319
418	17184	19276
419	17222	19232
420	17268	19196
421	17311	19157
422	17353	19117
423	17401	19084
424	17444	19044
425	17481	18999
426	17522	18958
427	17561	18915
428	17609	18882
429	17648	18839
430	17686	18794
431	17724	18750
432	17762	18705
433	17800	18661
434	17837	18616
435	17875	18572
436	17915	18530
437	17958	18491
438	17999	18450
439	18042	18411
440	18082	18369
441	18131	18336
442	18168	18292
443	18216	18257
444	18255	18214
445	18295	18172
446	18332	18127
447	18372	18085
448	18409	18040
449	18449	17998
450	18488	17955
451	18537	17922
452	18575	17878
453	18613	17834
454	18658	17797
455	18700	17757
456	18741	17716
457	18788	17680
458	18831	17641
459	18870	17599
460	18908	17554
461	18946	17511
462	18985	17468
463	19023	17424
464	19061	17380
465	19098	17336
466	19137	17293
467	19176	17250
468	19215	17207
469	19252	17163
470	19290	17119
471	19328	17076
472	19367	17033
473	19406	16990
474	19459	16960
475	19506	16925
476	19548	16884
477	19588	16843
478	19627	16800
479	19668	16758
480	19711	16719
481	19749	16676
482	19789	16634
483	19829	16593
484	19869	16551
485	19910	16509
486	19952	16470
487	19992	16428
488	20030	16385
489	20071	16343
490	20109	16300
491	20147	16256
492	20187	16215
493	20230	16175
494	20281	16143
495	20328	16106
496	20386	16079
497	20431	16041
498	20472	16000
499	20512	15959
500	20564	15926
501	20613	15891
502	20666	15859
503	20705	15816
504	20748	15776
505	20787	15734
506	20827	15692
507	20869	15652
508	20920	15618
509	20960	15576
510	20998	15533
511	21040	15492
512	21082	15452
513	21124	15411
514	21169	15373
515	21211	15332
516	21249	15290
517	21293	15250
518	21340	15213
519	21382	15173
520	21428	15135
521	21469	15094
522	21516	15057
523	21561	15019
524	21605	14979
525	21647	14939
526	21690	14899
527	21732	14858
528	21776	14819
529	21821	14780
530	21861	14739
531	21902	14697
532	21942	14655
533	21983	14614
534	22023	14572
535	22063	14530
536	22102	14487
537	22140	14445
538	22180	14402
539	22218	14359
540	22258	14317
541	22299	14276
542	22342	14236
543	22383	14195
544	22426	14155
545	22465	14112
546	22502	14069
547	22542	14027
548	22581	13984
549	22621	13943
550	22661	13901
551	22713	13866
552	22757	13827
553	22802	13788
554	22842	13746
555	22880	13703
556	22919	13661
557	22957	13618
558	22995	13575
559	23034	13532
560	23073	13490
561	23121	13452
562	23165	13413
563	23212	13375
564	23262	13340
565	23304	13298
566	23355	13263
567	23397	13222
568	23439	13182
569	23479	13140
570	23518	13097
571	23557	13055
572	23597	13013
573	23639	12972
574	23680	12931
575	23721	12890
576	23761	12848
577	23804	12808
578	23842	12765
579	23881	12723
580	23923	12682
581	23963	12640
582	24001	12597
583	24040	12555
584	24077	12512
585	24116	12469
586	24155	12427
587	24195	12385
588	24236	12344
589	24280	12304
590	24332	12269
591	24370	12226
592	24409	12184
593	24449	12142
594	24496	12104
595	24534	12061
596	24572	12018
597	24609	11975
598	24649	11933
599	24688	11891
600	24727	11849
601	24768	11808
602	24821	11772
603	24868	11734
604	24910	11693
605	24958	11655
606	25001	11615
607	25054	11579
608	25119	11549
609	25174	11514
610	25227	11478
611	25276	11440
612	25336	11407
613	25396	11374
614	25469	11347
615	25537	11317
616	25604	11287
617	25663	11253
618	25721	11219
619	25771	11181
620	25819	11142
621	25880	11109
622	25938	11075
623	25995	11039
624	26058	11007
625	26115	10971
626	26182	10940
627	26244	10907
628	26295	10869
629	26343	10830
630	26389	10790
631	26459	10759
632	26516	10723
633	26562	10683
634	26615	10646
635	26685	10615
636	26751	10582
637	26800	10543
638	26850	10504
639	26893	10463
640	26960	10430
641	27028	10398
642	27084	10361
643	27133	10322
644	27186	10284
645	27256	10252
646	27324	10220
647	27386	10185
648	27446	10149
649	27511	10115
650	27570	10079
651	27628	10042
652	27682	10004
653	27736	9966
654	27781	9925
655	27825	9883
656	27865	9839
657	27908	9797
658	27961	9759
659	28008	9718
660	28053	9676
661	28099	9635
662	28149	9595
663	28199	9555
664	28252	9516
665	28310	9479
666	28373	9443
667	28439	9408
668	28488	9368
669	28536	9327
670	28578	9284
671	28620	9242
672	28662	9199
673	28708	9157
674	28750	9115
675	28810	9077
676	28861	9038
677	28908	8996
678	28957	8956
679	29001	8913
680	29038	8869
681	29075	8825
682	29114	8781
683	29154	8737
684	29196	8694
685	29236	8651
686	29277	8608
687	29318	8565
688	29358	8522
689	29403	8480
690	29445	8437
691	29485	8393
692	29523	8349
693	29561	8306
694	29599	8262
695	29638	8218
696	29679	8175
697	29718	8132
698	29756	8088
699	29800	8046
700	29840	8002
701	29881	7959
702	29924	7917
703	29967	7874
704	30012	7833
